index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y
Page_1_29,28,https://ak1.ostkcdn.com/images/products/8584394/L15856990.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6315265045834993,"Rgb(r=64, g=155, b=172)",0.3684734954165006
Page_1_30,29,https://ak1.ostkcdn.com/images/products/22538234/L28158221.jpg?imwidth=480&impolicy=medium,"Rgb(r=213, g=161, b=101)",0.5092945317774135,"Rgb(r=219, g=206, b=196)",0.49070546822258654
Page_1_31,30,https://ak1.ostkcdn.com/images/products/20010513/L25921933.jpg?imwidth=480&impolicy=medium,"Rgb(r=176, g=157, b=145)",0.652580488913931,"Rgb(r=170, g=170, b=176)",0.347419511086069
Page_1_32,31,https://ak1.ostkcdn.com/images/products/6085350/L13755806.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6739176656035778,"Rgb(r=99, g=90, b=85)",0.32608233439642215
Page_1_33,32,https://ak1.ostkcdn.com/images/products/26394979/L31673186.jpg?imwidth=480&impolicy=medium,"Rgb(r=218, g=219, b=231)",0.531383865991088,"Rgb(r=170, g=161, b=157)",0.468616134008912
Page_1_34,33,https://ak1.ostkcdn.com/images/products/8557450/L15834575.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6344277866846255,"Rgb(r=138, g=104, b=62)",0.36557221331537443
Page_1_35,34,https://ak1.ostkcdn.com/images/products/17615556/L23831723.jpg?imwidth=480&impolicy=medium,"Rgb(r=168, g=160, b=143)",0.5292630626377085,"Rgb(r=35, g=32, b=27)",0.4707369373622915
Page_1_36,35,https://ak1.ostkcdn.com/images/products/8698422/L15950060.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=253)",0.6236259308210567,"Rgb(r=153, g=63, b=50)",0.3763740691789433
Page_1_37,36,https://ak1.ostkcdn.com/images/products/15077003/L21567071.jpg?imwidth=480&impolicy=medium,"Rgb(r=172, g=55, b=62)",0.5961600797905499,"Rgb(r=217, g=216, b=213)",0.4038399202094502
Page_1_38,37,https://ak1.ostkcdn.com/images/products/14986859/L21487742.jpg?imwidth=480&impolicy=medium,"Rgb(r=237, g=236, b=235)",0.5828730383457297,"Rgb(r=166, g=163, b=160)",0.41712696165427027
Page_1_39,38,https://ak1.ostkcdn.com/images/products/6624539/L14191183.jpg?imwidth=480&impolicy=medium,"Rgb(r=231, g=219, b=208)",0.8321096891808143,"Rgb(r=193, g=173, b=153)",0.16789031081918565
Page_1_40,39,https://ak1.ostkcdn.com/images/products/6624574/L14191182.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6104865262163155,"Rgb(r=112, g=115, b=70)",0.38951347378368445
