index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y,location-on-pltt,match1,match2,match3,palette_name,position_on_pltt
Page_1_26,25,https://ak1.ostkcdn.com/images/products/5779365/L13504103.jpg?imwidth=480&impolicy=medium,"(43, 8, 6)",0.6922687553282183,"(185, 167, 132)",0.30773124467178176,"[352, 1]",1404,847,288,Magenta Flowerbed,1
Page_1_27,26,https://ak1.ostkcdn.com/images/products/22537993/L28157990.jpg?imwidth=480&impolicy=medium,"(213, 161, 101)",0.5092945317774135,"(219, 206, 196)",0.4907054682225866,"[2747, 0]",787,1404,128,Golden Rain,0
Page_1_28,27,https://ak1.ostkcdn.com/images/products/8306086/L15622547.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.5341688970688303,"(42, 184, 188)",0.4658311029311697,"[684, 0]",381,1352,1352,Morning Sun,0
Page_1_29,28,https://ak1.ostkcdn.com/images/products/8584394/L15856990.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6315265045834993,"(64, 155, 172)",0.3684734954165006,"[684, 0]",6,1813,1091,Morning Sun,0
Page_1_30,29,https://ak1.ostkcdn.com/images/products/22538234/L28158221.jpg?imwidth=480&impolicy=medium,"(213, 161, 101)",0.5092945317774135,"(219, 206, 196)",0.4907054682225866,"[2747, 0]",1681,1448,760,Golden Rain,0
Page_1_31,30,https://ak1.ostkcdn.com/images/products/20010513/L25921933.jpg?imwidth=480&impolicy=medium,"(176, 157, 145)",0.6525804889139311,"(170, 170, 176)",0.347419511086069,"[1814, 0]",1488,1806,1844,Blooming Shrub,0
Page_1_32,31,https://ak1.ostkcdn.com/images/products/6085350/L13755806.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6739176656035778,"(99, 90, 85)",0.3260823343964221,"[684, 0]",920,173,1352,Morning Sun,0
Page_1_33,32,https://ak1.ostkcdn.com/images/products/26394979/L31673186.jpg?imwidth=480&impolicy=medium,"(218, 219, 231)",0.5313838659910879,"(170, 161, 157)",0.46861613400891206,"[2078, 3]",1067,431,1516,Slow and Steady,3
Page_1_34,33,https://ak1.ostkcdn.com/images/products/8557450/L15834575.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6344277866846255,"(138, 104, 62)",0.3655722133153744,"[684, 0]",1190,577,1499,Morning Sun,0
Page_1_35,34,https://ak1.ostkcdn.com/images/products/17615556/L23831723.jpg?imwidth=480&impolicy=medium,"(168, 160, 143)",0.5292630626377085,"(35, 32, 27)",0.4707369373622915,"[1067, 1]",161,1466,1516,Provincial Stroll,1
Page_1_36,35,https://ak1.ostkcdn.com/images/products/8698422/L15950060.jpg?imwidth=480&impolicy=medium,"(254, 254, 253)",0.6236259308210567,"(153, 63, 50)",0.3763740691789433,"[3063, 1]",1060,947,11,Rustic Bridal Bouquet,1
Page_1_37,36,https://ak1.ostkcdn.com/images/products/15077003/L21567071.jpg?imwidth=480&impolicy=medium,"(172, 55, 62)",0.5961600797905499,"(217, 216, 213)",0.4038399202094502,"[947, 3]",970,159,455,Sliced Peaches,3
Page_1_38,37,https://ak1.ostkcdn.com/images/products/14986859/L21487742.jpg?imwidth=480&impolicy=medium,"(237, 236, 235)",0.5828730383457297,"(166, 163, 160)",0.4171269616542703,"[437, 1]",970,1029,1516,Highway Cruise,1
Page_1_39,38,https://ak1.ostkcdn.com/images/products/6624539/L14191183.jpg?imwidth=480&impolicy=medium,"(231, 219, 208)",0.8321096891808143,"(193, 173, 153)",0.16789031081918565,"[395, 1]",421,1748,7,Choco Coco,1
Page_1_40,39,https://ak1.ostkcdn.com/images/products/6624574/L14191182.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6104865262163155,"(112, 115, 70)",0.3895134737836845,"[684, 0]",365,1449,1477,Morning Sun,0
