,dn_crop,dn_order,box_order,class_name,class_id,image,index_image,crop_width,crop_height,crop_area,left_x,top_y,width,height,deviation-score,centerness-score,RGB_x,Proportion_x,RGB_y,Proportion_y,palette_name,position_on_pltt,match1,match2,match3,RGB_x_hex
1488,img_1510_2928_432_Clothing.jpg.jpg,1510,2928,Clothing,432,Pillow_select/Page_8_8.jpg,Page_8_8,386,320,123520,44,135,385,321,0.6766408059470599,237.87076323079305,"Rgb(r=100, g=94, b=91)",0.6827298338114807,"Rgb(r=103, g=98, b=101)",0.3172701661885193,Grey Horizon,0,81,1170,775,#645e5b
1489,img_1511_2935_256_Curtain.jpg.jpg,1511,2935,Curtain,256,Pillow_select/Page_8_9.jpg,Page_8_9,463,479,221777,11,-6,463,489,0.7327303293966445,348.6495375014859,"Rgb(r=33, g=39, b=64)",0.620842446506558,"Rgb(r=64, g=76, b=106)",0.37915755349344205,Middle Eastern Empire,0,1316,477,882,#212740
1490,img_1512_2936_461_Building.jpg.jpg,1512,2936,Building,461,Pillow_select/Page_9_10.jpg,Page_9_10,462,464,214368,8,1,462,464,0.7179030289107589,332.3883271115278,"Rgb(r=245, g=244, b=242)",0.9963289005431729,"Rgb(r=245, g=243, b=244)",0.003671099456827121,Midnight Parlor,1,129,250,1006,#f5f4f2
1491,img_1513_2937_358_Sculpture.jpg.jpg,1513,2937,Sculpture,358,Pillow_select/Page_9_12.jpg,Page_9_12,403,370,149110,19,59,403,370,0.657678806394217,253.9611190714043,"Rgb(r=214, g=211, b=206)",0.5752484976756491,"Rgb(r=171, g=167, b=162)",0.4247515023243509,Fox in Snow,0,654,1049,601,#d6d3ce
1492,img_1514_2939_432_Clothing.jpg.jpg,1514,2939,Clothing,432,Pillow_select/Page_9_14.jpg,Page_9_14,194,247,47918,23,113,194,246,0.5512080894645939,120.41594578792295,"Rgb(r=16, g=55, b=46)",0.7659219974656216,"Rgb(r=254, g=254, b=254)",0.23407800253437838,Follow the Flow,0,893,434,626,#10372e
1493,img_1515_2941_432_Clothing.jpg.jpg,1515,2941,Clothing,432,Pillow_select/Page_9_15.jpg,Page_9_15,441,323,142443,20,79,441,323,0.6736773601636364,254.25675998879558,"Rgb(r=19, g=31, b=64)",0.7133709351514006,"Rgb(r=254, g=254, b=254)",0.2866290648485994,Peacock Passion,1,893,985,13,#131f40
1494,img_1516_2942_465_Furniture.jpg.jpg,1516,2942,Furniture,465,Pillow_select/Page_9_17.jpg,Page_9_17,426,341,145266,27,66,427,341,0.6871924605131341,262.22223399246684,"Rgb(r=220, g=219, b=214)",0.5778125611426336,"Rgb(r=46, g=41, b=40)",0.4221874388573665,Calming Serenity,3,1098,921,528,#dcdbd6
1495,img_1517_2944_257_Bed.jpg.jpg,1517,2944,Bed,257,Pillow_select/Page_9_18.jpg,Page_9_18,448,210,94080,18,113,448,210,0.7894122932330627,242.1321952983535,"Rgb(r=254, g=254, b=253)",0.6171381834196674,"Rgb(r=89, g=6, b=44)",0.38286181658033264,Rustic Bridal Bouquet,1,83,320,7,#fefefd
1496,img_1518_2946_560_Animal.jpg.jpg,1518,2946,Animal,560,Pillow_select/Page_9_19.jpg,Page_9_19,440,341,150040,37,120,440,341,0.6761704013217135,261.91458531360945,"Rgb(r=59, g=114, b=121)",0.556667152530245,"Rgb(r=121, g=174, b=180)",0.443332847469755,Fog Over Water,0,1277,339,253,#3b7279
1497,img_1519_2947_396_Trousers.jpg.jpg,1519,2947,Trousers,396,Pillow_select/Page_9_1.jpg,Page_9_1,455,466,212030,15,9,455,465,0.7169674342564223,329.7855363717457,"Rgb(r=67, g=74, b=89)",0.561872409200425,"Rgb(r=254, g=254, b=254)",0.438127590799575,Basic Graham,1,602,1240,1527,#434a59
